1,2,3,4,5,6,7,8,9,10,11,12
4373.9,4396.3,4377.9,4400.6,4408.3,4442.6,4441.1,4456.0,4466.9,4497.0,4495.1,4501.3
4063.7,4047.5,4078.4,4086.4,4111.7,4112.3,4118.3,4132.5,4139.9,4171.6,4164.7,4178.8
4394.0,4436.7,4439.6,4448.1,4466.5,4464.4,4480.5,4497.7,4504.5,4522.9,4526.7,4559.7
4713.3,4731.0,4738.0,4771.2,4785.3,4764.6,4805.4,4787.6,4815.7,4820.2,4845.4,4856.3
4636.4,4633.0,4657.0,4662.6,4682.9,4673.8,4689.6,4706.1,4712.9,4745.6,4772.2,4772.8
4478.7,4478.2,4490.1,4521.2,4527.0,4540.2,4538.9,4561.5,4594.8,4596.7,4603.7,4594.1
4361.0,4362.9,4394.1,4400.9,4422.0,4435.3,4442.8,4447.9,4471.9,4498.1,4489.8,4492.7
4271.5,4287.3,4296.6,4306.8,4354.2,4352.6,4355.0,4359.4,4361.1,4407.2,4406.7,4391.7
4046.4,4060.7,4073.9,4076.3,4079.5,4088.9,4116.4,4125.3,4166.4,4170.8,4177.6,4188.0
5019.1,5003.3,5008.9,5039.2,5061.0,5067.3,5080.8,5076.7,5113.2,5107.9,5115.0,5157.2
4715.6,4706.7,4747.4,4744.3,4764.9,4772.1,4802.6,4795.2,4819.1,4843.6,4838.9,4848.6
4891.8,4877.9,4914.4,4916.2,4930.0,4967.0,4953.4,4966.0,5001.5,5015.2,5010.8,5020.0
4938.8,4947.5,4980.6,4976.3,4998.4,5002.4,5007.4,5031.9,5055.1,5057.1,5089.1,5081.5
4905.7,4919.7,4958.2,4940.2,4983.4,4999.7,5010.7,5024.0,5039.6,5030.3,5054.2,5084.0
5265.1,5263.3,5263.1,5299.1,5304.6,5339.2,5335.4,5375.3,5381.8,5387.7,5389.3,5418.7
5126.6,5149.7,5183.8,5170.0,5221.4,5221.4,5215.3,5229.1,5256.5,5282.7,5284.7,5298.6
5591.3,5608.7,5634.2,5651.0,5669.0,5681.3,5695.3,5726.0,5719.6,5726.6,5777.9,5764.5
5245.5,5265.8,5269.9,5281.5,5295.2,5326.5,5320.0,5325.7,5368.6,5376.2,5389.6,5405.7
5255.0,5270.4,5286.2,5281.5,5297.3,5312.0,5335.5,5342.2,5367.8,5381.5,5391.8,5415.6
5435.1,5463.1,5463.0,5504.5,5518.6,5509.0,5545.3,5568.2,5568.6,5560.2,5596.5,5596.6
5978.1,5998.3,6010.5,6020.2,6022.3,6055.8,6073.7,6086.8,6102.6,6103.2,6122.6,6129.2
5863.3,5891.3,5896.9,5946.0,5945.0,5949.4,5973.9,5988.3,6000.1,6036.1,6038.5,6061.8
5514.8,5498.2,5543.8,5538.4,5581.6,5573.2,5593.6,5622.7,5629.7,5646.9,5653.3,5682.7
5670.9,5725.4,5693.5,5726.2,5734.7,5735.2,5758.6,5801.7,5811.4,5827.9,5858.5,5874.4
5695.7,5735.4,5723.9,5752.6,5768.3,5779.5,5824.2,5823.1,5858.1,5854.5,5864.4,5886.1
6081.3,6076.4,6104.8,6094.7,6139.3,6158.7,6176.4,6193.4,6216.7,6224.8,6239.0,6241.5
5665.2,5710.4,5707.9,5722.7,5737.8,5779.2,5747.9,5789.9,5804.9,5823.8,5840.6,5833.6
5599.2,5659.3,5640.7,5667.5,5677.2,5708.1,5706.0,5713.0,5748.6,5747.2,5774.1,5799.5
5886.5,5948.8,5945.7,5956.5,5962.2,5997.9,6004.7,6029.5,6021.5,6080.9,6084.6,6076.2
6166.7,6194.0,6205.8,6233.8,6219.7,6248.8,6264.6,6277.1,6328.0,6307.1,6332.7,6369.6
6385.9,6395.3,6406.3,6432.0,6445.4,6454.5,6472.7,6486.8,6539.3,6520.6,6557.0,6551.8
6152.3,6162.6,6185.5,6181.5,6241.0,6237.1,6269.2,6251.3,6302.3,6311.8,6314.9,6353.2
6205.1,6228.3,6214.7,6248.7,6274.1,6278.2,6293.8,6313.7,6353.1,6344.6,6361.7,6389.3
5917.4,5940.1,5959.0,5983.6,5989.3,6003.9,6022.8,6048.6,6034.8,6032.7,6091.7,6100.6
6336.0,6368.4,6361.0,6376.7,6391.3,6418.9,6435.7,6456.8,6450.3,6480.4,6494.9,6524.4
6505.4,6502.3,6515.4,6541.1,6581.9,6567.2,6582.1,6596.8,6619.3,6611.9,6675.7,6690.2
6468.7,6494.0,6523.3,6527.9,6533.5,6569.4,6583.8,6594.1,6614.2,6652.2,6671.0,6674.1
6157.1,6173.3,6186.6,6179.7,6223.1,6225.4,6251.6,6281.9,6309.1,6309.6,6320.3,6351.3
6010.8,6010.8,6027.0,6056.0,6093.9,6095.9,6110.7,6121.3,6127.0,6136.7,6164.5,6195.6
6015.7,6022.4,6023.3,6085.7,6083.8,6088.5,6120.8,6113.7,6142.1,6159.3,6194.9,6179.0
6485.4,6502.9,6517.4,6537.3,6543.3,6602.5,6600.2,6642.4,6635.1,6661.0,6668.7,6700.0
6661.8,6652.0,6680.3,6718.7,6746.0,6751.6,6789.1,6797.5,6783.9,6819.9,6826.9,6867.3
6105.9,6148.5,6165.1,6182.2,6186.6,6207.3,6220.3,6237.9,6269.5,6268.1,6283.4,6299.9
7282.2,7336.3,7353.5,7367.7,7373.7,7396.9,7391.7,7421.2,7451.7,7489.2,7510.5,7512.0
