1,2,3,4,5,6,7,8,9,10,11,12
5297.4,5354.1,5306.0,5348.1,5362.2,5363.8,5370.3,5367.3,5368.1,5356.4,5417.7,5402.2
4944.3,4992.2,4956.3,4964.9,5002.7,4993.9,4979.6,5020.3,4991.7,5007.4,5019.7,5032.5
5365.9,5366.1,5390.5,5387.6,5383.4,5403.5,5404.3,5413.3,5429.4,5410.6,5464.2,5431.5
5723.4,5741.8,5709.9,5719.3,5736.1,5777.6,5779.0,5767.1,5783.8,5783.1,5803.4,5824.3
5621.1,5636.3,5664.4,5638.8,5661.8,5674.1,5664.2,5680.3,5667.4,5687.7,5684.2,5692.9
5427.0,5441.3,5469.2,5474.8,5478.8,5476.8,5489.9,5494.6,5495.8,5502.4,5500.6,5533.2
5323.1,5306.0,5324.8,5350.7,5350.6,5367.0,5379.6,5362.3,5379.3,5370.7,5379.0,5391.7
5227.8,5226.1,5248.7,5229.3,5265.5,5248.5,5263.1,5258.4,5250.3,5288.1,5279.7,5280.3
4951.4,4960.8,4959.7,4967.9,4979.1,4982.5,4990.7,5009.7,4993.1,4988.0,5037.5,5004.5
6037.8,6040.4,6053.0,6075.1,6063.5,6088.1,6090.6,6101.8,6094.4,6104.0,6117.9,6128.4
5709.6,5746.3,5727.0,5715.9,5769.1,5749.5,5752.8,5806.4,5767.3,5763.3,5780.2,5813.2
5920.2,5942.7,5944.3,5922.0,5945.6,5940.4,5958.0,5965.9,5964.6,5961.8,5995.0,5981.7
5967.9,6002.3,6010.6,6021.1,6004.8,6024.7,6027.7,6034.6,6049.3,6037.7,6038.1,6075.5
5953.7,5958.5,5956.5,5979.9,5989.7,5988.0,5999.6,6002.1,6003.1,6026.5,6022.9,6035.0
6377.3,6321.9,6371.8,6383.3,6368.1,6403.7,6383.3,6423.8,6413.1,6421.1,6428.8,6421.4
6218.4,6229.1,6233.6,6253.5,6238.3,6283.0,6244.9,6266.3,6300.9,6293.4,6299.2,6307.0
6759.9,6745.4,6763.8,6752.2,6795.5,6780.4,6805.8,6822.8,6839.4,6812.9,6821.5,6847.6
6347.7,6318.2,6344.8,6370.7,6365.3,6356.7,6389.8,6388.4,6403.0,6380.9,6408.6,6441.9
6341.4,6363.8,6352.8,6364.0,6352.2,6386.2,6392.1,6366.0,6398.7,6410.5,6421.9,6411.2
6566.7,6594.6,6572.4,6601.5,6618.6,6633.1,6610.1,6621.7,6643.1,6656.0,6661.7,6669.3
7168.4,7191.9,7186.0,7223.6,7207.4,7225.8,7213.4,7224.7,7240.0,7259.7,7245.3,7275.3
7068.0,7070.6,7090.9,7068.6,7098.4,7093.7,7113.7,7126.4,7106.0,7144.7,7153.3,7157.4
6649.0,6671.3,6656.0,6646.2,6691.1,6698.6,6673.7,6703.6,6709.7,6694.8,6730.6,6734.1
6844.0,6860.4,6876.1,6890.6,6858.7,6908.4,6900.6,6880.7,6929.4,6928.1,6905.6,6925.3
6898.6,6866.8,6907.5,6915.6,6903.8,6926.9,6922.1,6939.2,6931.0,6930.0,6953.0,6932.9
7296.1,7322.8,7326.3,7319.5,7326.0,7351.5,7346.0,7358.5,7349.3,7358.6,7392.5,7373.1
6848.4,6836.1,6858.8,6856.8,6886.3,6883.6,6891.1,6871.0,6882.7,6930.1,6925.8,6903.8
6782.4,6769.5,6782.4,6792.5,6804.7,6827.4,6816.7,6821.3,6840.7,6847.0,6851.4,6876.2
7131.8,7138.1,7134.0,7176.0,7169.7,7142.5,7179.7,7178.4,7180.6,7188.8,7207.2,7215.8
7438.5,7428.6,7444.9,7417.4,7452.4,7478.2,7481.6,7454.9,7470.9,7508.0,7487.8,7509.7
7667.6,7660.7,7660.4,7700.3,7696.5,7715.7,7717.8,7711.9,7736.5,7738.8,7707.4,7731.8
7392.1,7410.6,7397.7,7403.7,7428.4,7427.4,7452.4,7426.5,7442.6,7476.1,7455.9,7467.9
7465.2,7430.9,7469.9,7464.3,7478.7,7474.5,7494.5,7501.0,7522.4,7510.6,7496.8,7520.0
7110.1,7116.1,7140.4,7121.7,7151.6,7172.4,7198.0,7172.9,7165.3,7209.4,7230.3,7182.3
7588.2,7626.8,7599.7,7613.9,7610.7,7631.4,7642.1,7661.9,7676.8,7670.7,7682.6,7686.6
7772.9,7774.7,7773.7,7809.6,7812.4,7812.7,7821.3,7825.6,7819.9,7845.6,7843.9,7851.4
7775.7,7790.5,7797.0,7797.9,7821.1,7823.6,7822.9,7824.6,7831.8,7849.7,7868.8,7888.9
7432.6,7409.8,7405.9,7423.9,7438.1,7453.4,7438.2,7430.3,7446.4,7439.8,7446.2,7492.8
7210.5,7197.2,7233.3,7243.8,7254.9,7265.9,7254.3,7272.6,7286.5,7249.8,7330.7,7316.4
7232.0,7228.5,7260.0,7283.1,7272.2,7272.8,7265.5,7296.8,7297.3,7307.7,7298.5,7307.4
7795.7,7813.4,7806.4,7814.8,7818.5,7832.7,7855.0,7850.1,7869.5,7868.3,7873.9,7888.4
