1,2,3,4,5,6,7,8,9,10,11,12
6170.7,6183.5,6173.8,6171.8,6172.3,6192.8,6169.9,6189.9,6189.6,6192.7,6203.1,6203.4
5777.7,5775.2,5780.2,5767.1,5783.6,5790.8,5775.4,5770.4,5779.1,5793.6,5787.5,5760.7
6218.9,6228.7,6225.6,6239.2,6238.0,6239.8,6239.1,6231.6,6259.0,6244.3,6245.2,6257.9
6638.4,6645.4,6636.4,6620.2,6636.5,6631.2,6644.5,6645.7,6624.8,6625.1,6640.8,6633.1
6501.9,6533.4,6545.0,6503.4,6502.5,6505.3,6536.5,6514.9,6527.1,6525.1,6537.4,6534.5
6319.5,6308.6,6292.3,6315.4,6301.0,6322.1,6293.2,6310.6,6297.1,6319.9,6324.7,6312.7
6154.8,6189.4,6169.3,6174.8,6202.4,6200.6,6203.4,6190.6,6192.7,6190.3,6179.0,6174.8
6043.6,6052.3,6059.5,6058.5,6049.9,6044.4,6064.3,6061.4,6044.8,6071.7,6064.4,6082.5
5767.6,5753.0,5775.7,5765.8,5784.9,5774.5,5772.6,5792.5,5777.5,5789.4,5787.6,5779.3
6971.4,6994.8,6986.0,6992.7,6984.3,6983.7,6982.7,6977.5,6992.4,7004.8,6983.2,7010.9
6628.2,6601.3,6629.8,6610.7,6607.2,6595.7,6607.8,6630.3,6633.4,6622.4,6620.4,6631.6
6840.5,6825.5,6826.5,6825.9,6829.2,6827.7,6830.4,6817.7,6844.3,6839.2,6844.0,6826.1
6892.6,6912.5,6895.9,6909.5,6903.9,6921.6,6917.6,6938.7,6941.6,6922.3,6922.3,6939.7
6868.4,6889.6,6894.4,6869.1,6875.4,6874.7,6886.9,6886.2,6848.1,6870.5,6876.3,6884.1
7318.2,7322.0,7315.2,7337.7,7354.3,7324.0,7340.7,7319.7,7334.3,7316.6,7331.2,7339.7
7179.8,7187.8,7206.6,7184.7,7162.6,7184.3,7177.2,7188.1,7186.9,7225.6,7190.1,7189.3
7753.3,7753.9,7769.6,7770.0,7797.1,7760.6,7758.6,7760.1,7760.6,7777.4,7760.7,7771.4
7279.9,7307.9,7305.2,7289.0,7310.5,7275.5,7321.1,7298.4,7303.0,7307.6,7334.1,7310.2
7309.5,7328.2,7302.0,7297.6,7278.1,7283.6,7294.0,7285.6,7304.8,7332.6,7304.9,7307.4
7559.4,7601.1,7572.3,7579.5,7571.2,7570.5,7584.5,7559.6,7600.7,7581.5,7594.7,7594.6
8219.6,8245.9,8240.2,8229.0,8221.5,8258.0,8241.2,8250.1,8271.5,8262.2,8268.0,8277.4
8101.6,8087.7,8098.8,8101.1,8111.5,8123.0,8122.6,8112.2,8107.0,8126.5,8140.3,8121.5
7640.9,7629.9,7659.3,7641.9,7651.5,7668.1,7637.1,7634.6,7657.9,7678.3,7669.7,7657.3
7869.3,7870.7,7838.8,7855.4,7866.2,7889.2,7893.3,7887.9,7890.3,7890.9,7909.0,7891.6
7887.6,7890.4,7913.2,7913.3,7922.4,7918.8,7906.6,7896.8,7889.5,7899.0,7937.4,7912.9
8385.1,8355.9,8372.9,8393.9,8361.2,8343.8,8379.6,8368.2,8341.2,8379.1,8379.4,8396.5
7876.1,7858.9,7864.0,7882.3,7853.4,7863.9,7892.5,7868.1,7883.7,7886.4,7870.1,7880.4
