Wavelength[nm],ADC
207.425,5419
207.805,5063
208.185,5460
208.565,5785
208.945,5621
209.325,5508
209.705,5401
210.085,5239
210.465,5055
210.845,6088
211.226,5798
211.606,5945
211.986,6005
212.367,5917
212.747,6356
213.128,6302
213.508,6782
213.889,6386
214.270,6376
214.650,6645
215.031,7251
215.412,7109
215.793,6667
216.174,6898
216.555,6911
216.936,7322
217.317,6786
217.699,6804
218.080,7164
218.461,7471
218.843,7703
219.224,7445
219.605,7543
219.987,7087
220.369,7632
220.750,7893
221.132,7916
221.514,7467
221.896,7160
222.277,7315
222.659,7818
223.041,8006
223.423,7378
223.805,8791
224.188,8071
224.570,7743
224.952,7003
225.334,7541
225.717,8238
226.099,7563
226.482,7691
226.864,7663
227.247,8383
227.629,8537
228.012,7799
228.395,8017
228.778,8631
229.161,7932
229.543,7797
229.926,7175
230.309,7932
230.693,7588
231.076,7399
231.459,7406
231.842,8276
232.225,8198
232.609,7551
232.992,7523
233.376,7860
233.759,7760
234.143,8018
234.526,8452
234.910,8217
235.294,8172
235.678,7616
236.062,8367
236.445,8310
236.829,8142
237.213,7792
237.597,7834
237.982,8410
238.366,7902
238.750,7799
239.134,7453
239.519,7966
239.903,8542
240.288,7382
240.672,7433
241.057,8412
241.441,8395
241.826,9066
242.211,7836
242.595,8624
242.980,8941
243.365,8803
243.750,8643
244.135,7501
244.520,7830
244.905,7636
245.290,8153
245.676,8171
246.061,7706
246.446,8000
246.832,7424
247.217,8309
247.602,7892
247.988,8702
248.374,7762
248.759,7750
249.145,8258
249.531,8118
249.917,8144
250.302,8142
250.688,7920
251.074,8024
251.460,8237
251.846,8295
252.233,7694
252.619,7796
253.005,7560
253.391,7968
253.778,7429
254.164,7624
254.551,7638
254.937,8024
255.324,9308
255.710,8347
256.097,7052
256.484,8401
256.870,7816
257.257,7979
257.644,8064
258.031,8095
258.418,7616
258.805,7738
259.192,7521
259.579,8523
259.967,8578
260.354,7975
260.741,8487
261.129,6909
261.516,8114
261.904,9423
262.291,7860
262.679,8145
263.066,7715
263.454,7700
263.842,8035
264.230,8514
264.618,7550
265.005,8651
265.393,8554
265.781,8411
266.170,8459
266.558,7912
266.946,7932
267.334,8170
267.722,8293
268.111,8288
268.499,8602
268.888,8045
269.276,7875
269.665,7691
270.053,6548
270.442,7979
270.831,7919
271.220,8154
271.608,8113
271.997,8416
272.386,8786
272.775,8480
273.164,6927
273.553,7726
273.943,7643
274.332,7492
274.721,8402
275.110,7568
275.500,6838
275.889,8392
276.279,8014
276.668,7421
277.058,7697
277.447,7953
277.837,6931
278.227,7758
278.617,8041
279.006,8376
279.396,8240
279.786,7840
280.176,8203
280.566,8014
280.956,8018
281.347,8339
281.737,7358
282.127,8026
282.517,8184
282.908,7500
283.298,8950
283.689,7667
284.079,7832
284.470,7971
284.861,7991
285.251,8115
285.642,8460
286.033,8090
286.424,8169
286.815,7991
287.205,8464
287.596,8451
287.988,8284
288.379,8100
288.770,7768
289.161,8091
289.552,7632
289.944,8409
290.335,8114
290.727,8124
291.118,7387
291.510,8372
291.901,8186
292.293,8807
292.685,8578
293.076,8705
293.468,7003
293.860,8659
294.252,8009
294.644,8236
295.036,8276
295.428,8647
295.820,7838
296.212,7676
296.605,8260
296.997,7829
297.389,7940
297.782,7747
298.174,7603
298.566,8283
298.959,8048
299.352,7783
299.744,7566
300.137,8609
300.530,8049
300.923,7331
301.315,8157
301.708,7739
302.101,8698
302.494,7203
302.887,7905
303.281,8344
303.674,8464
304.067,7956
304.460,7815
304.854,7863
305.247,9286
305.640,8216
306.034,7835
306.427,8134
306.821,8772
307.215,8084
307.608,8471
308.002,8322
308.396,8461
308.790,7516
309.184,8491
309.578,8125
309.972,9035
310.366,7888
310.760,8076
311.154,8531
311.548,8299
311.943,7996
312.337,8069
312.731,8303
313.126,8127
313.520,8334
313.915,8915
314.309,8202
314.704,7171
315.099,7560
315.494,8867
315.888,7908
316.283,8000
316.678,7716
317.073,7161
317.468,8779
317.863,8424
318.258,7880
318.653,7296
319.049,8341
319.444,8513
319.839,7417
320.235,16521
320.630,8267
321.026,8398
321.421,7849
321.817,7445
322.212,8404
322.608,7806
323.004,8333
323.399,8538
323.795,8639
324.191,7346
324.587,7744
324.983,7765
325.379,8059
325.775,7856
326.171,8162
326.568,7725
326.964,8032
327.360,8433
327.757,8673
328.153,8245
328.549,7978
328.946,7604
329.343,8444
329.739,8096
330.136,9017
330.533,8446
330.929,8220
331.326,8539
331.723,7472
332.120,8550
332.517,8302
332.914,7632
333.311,7936
333.708,10493
334.105,8564
334.503,8645
334.900,8054
335.297,8169
335.695,8059
336.092,8774
336.490,8611
336.887,8198
337.285,8592
337.682,8432
338.080,8141
338.478,7235
338.876,7779
339.273,8000
339.671,7787
340.069,7772
340.467,8345
340.865,7864
341.263,8559
341.662,7398
342.060,7771
342.458,7879
342.856,8716
343.255,8584
343.653,8308
344.052,8818
344.450,7684
344.849,8258
345.247,8352
345.646,8926
346.045,8456
346.443,8502
346.842,8192
347.241,7705
347.640,7851
348.039,7462
348.438,8391
348.837,7760
349.236,7975
349.635,7590
350.035,8201
350.434,8431
350.833,9252
351.233,7418
351.632,8148
352.032,8238
352.431,8065
352.831,8146
353.230,8279
353.630,7462
354.030,8329
354.430,8602
354.829,8096
355.229,8354
355.629,7899
356.029,7592
356.429,8036
356.829,8496
357.230,8786
357.630,8833
358.030,8528
358.430,8546
358.831,7997
359.231,7997
359.631,7871
360.032,8514
360.432,7421
360.833,7219
361.234,7782
361.634,7930
362.035,8052
362.436,9475
362.837,8447
363.238,8476
363.639,7515
364.040,9368
364.441,8290
364.842,9293
365.243,8334
365.644,7546
366.045,8224
366.447,7722
366.848,8226
367.250,7813
367.651,8833
368.053,8536
368.454,8533
368.856,7149
369.257,8200
369.659,8429
370.061,7878
370.463,7830
370.864,7498
371.266,7971
371.668,7820
372.070,8214
372.472,7348
372.874,8370
373.277,7498
373.679,8169
374.081,8593
374.483,8173
374.886,8608
375.288,7996
375.691,8373
376.093,8099
376.496,8376
376.898,9122
377.301,8330
377.704,8505
378.106,8450
378.509,7961
378.912,8515
379.315,7870
379.718,7357
380.121,8983
380.524,8052
380.927,8164
381.330,8592
381.734,8249
382.137,7585
382.540,7483
382.943,8699
383.347,8595
383.750,8028
384.154,8447
384.557,8540
384.961,8256
385.365,8097
